listing_id,make,model,year,mileage_km,fuel,transmission,engine_l,body_type,color,city,price_eur,first_registration,seller_type,condition,listed_at
car-000023,Audi,A3,2008,177879,diesel,automatic,1.4,wagon,green,Constanta,7379,2008-02-03,dealer,used,2026-02-23T11:00:00Z
car-000024,Kia,Stonic,2012,228332,diesel,manual,1.8,hatchback,gray,Cluj-Napoca,13189,2012-04-22,dealer,certified_used,2026-02-19T17:00:00Z
car-000025,Skoda,Rapid,2012,127118,diesel,manual,3.2,hatchback,silver,Brasov,18473,2012-06-26,private,used,2026-01-18T05:00:00Z
car-000026,Volkswagen,Tiguan,2009,249777,diesel,manual,3.0,wagon,gray,Iasi,11936,2009-04-08,dealer,used,2026-01-26T10:00:00Z
car-000027,Audi,A3,2016,187101,lpg,automatic,2.7,coupe,gray,Bucharest,12355,2016-05-06,private,used,2026-01-07T19:00:00Z
car-000028,Skoda,Superb,2018,231796,lpg,manual,2.0,coupe,blue,Iasi,13330,2018-12-14,dealer,used,2026-01-24T13:00:00Z
car-000029,Volkswagen,Polo,2018,68339,hybrid,automatic,2.7,suv,green,Brasov,18722,2018-09-05,dealer,certified_used,2026-02-12T12:00:00Z
car-000030,BMW,118,2017,215900,lpg,manual,1.8,sedan,green,Constanta,16295,2017-11-11,private,certified_used,2026-01-29T21:00:00Z
car-000031,Mercedes-Benz,CLA200,2023,91967,petrol,automatic,2.3,coupe,gray,Bucharest,27504,2023-04-22,private,used,2026-02-21T06:00:00Z
car-000032,BMW,320,2009,131368,electric,manual,0.0,coupe,blue,Brasov,17380,2009-07-16,private,used,2026-01-10T20:00:00Z
car-000033,Toyota,Corolla,2021,117735,diesel,automatic,1.1,sedan,white,Timisoara,20092,2021-08-22,private,certified_used,2026-02-09T23:00:00Z
car-000034,Hyundai,Kona,2025,236787,diesel,automatic,2.1,sedan,red,Constanta,21255,2025-11-08,private,certified_used,2026-01-05T22:00:00Z
car-000035,Audi,A4,2016,179080,hybrid,manual,1.3,sedan,green,Brasov,15751,2016-12-07,dealer,certified_used,2026-01-27T10:00:00Z
car-000036,Hyundai,Kona,2021,35645,diesel,automatic,2.0,coupe,black,Constanta,22116,2021-08-01,private,certified_used,2026-02-18T12:00:00Z
car-000037,Skoda,Rapid,2025,319278,diesel,automatic,1.5,wagon,brown,Bucharest,20628,2025-06-22,private,used,2026-02-23T14:00:00Z
car-000038,BMW,118,2025,17138,electric,manual,0.0,wagon,silver,Timisoara,30110,2025-01-09,private,certified_used,2026-01-14T14:00:00Z
car-000039,Ford,Mondeo,2020,148886,electric,automatic,0.0,wagon,black,Brasov,28147,2020-01-12,dealer,used,2026-02-19T20:00:00Z
car-000040,Toyota,Corolla,2015,107522,petrol,manual,1.6,wagon,white,Constanta,21364,2015-04-15,private,certified_used,2026-01-11T19:00:00Z
car-000041,Kia,Ceed,2013,166073,petrol,manual,3.3,coupe,green,Timisoara,19512,2013-12-07,dealer,used,2026-01-07T22:00:00Z
car-000042,Audi,Q5,2011,299711,petrol,automatic,2.3,suv,white,Constanta,12243,2011-06-01,private,certified_used,2026-01-07T13:00:00Z
car-000043,Ford,Kuga,2012,231320,diesel,automatic,2.5,coupe,brown,Timisoara,11574,2012-12-19,private,certified_used,2026-02-24T07:00:00Z
car-000044,Volkswagen,Polo,2022,130854,electric,automatic,0.0,wagon,gray,Cluj-Napoca,29867,2022-04-12,private,certified_used,2026-01-18T19:00:00Z
car-000045,Audi,Q5,2008,273861,diesel,manual,1.6,wagon,brown,Constanta,10808,2008-04-23,private,certified_used,2026-01-29T00:00:00Z
car-000046,Volkswagen,Polo,2015,215022,diesel,automatic,2.7,suv,brown,Constanta,14359,2015-06-14,private,certified_used,2026-02-14T14:00:00Z
car-000047,Audi,A6,2016,123868,petrol,manual,1.8,coupe,silver,Cluj-Napoca,16272,2016-12-16,private,certified_used,2026-01-07T06:00:00Z
car-000048,Audi,A4,2019,97079,hybrid,manual,2.8,sedan,red,Bucharest,25181,2019-01-18,private,used,2026-02-10T15:00:00Z
car-000049,Volkswagen,Golf,2017,249099,electric,automatic,0.0,hatchback,red,Timisoara,16333,2017-02-13,private,used,2026-02-06T20:00:00Z
car-000050,Toyota,Yaris,2012,298090,hybrid,manual,3.5,hatchback,green,Constanta,12626,2012-10-08,private,certified_used,2026-02-28T14:00:00Z
car-000051,Audi,Q5,2021,163107,lpg,manual,2.5,hatchback,blue,Brasov,20728,2021-05-22,dealer,used,2026-01-16T05:00:00Z
car-000052,Hyundai,i20,2013,4402,electric,automatic,0.0,wagon,red,Bucharest,17120,2013-05-23,private,certified_used,2026-01-05T21:00:00Z
car-000053,Mercedes-Benz,A180,2014,225895,petrol,manual,2.6,suv,silver,Bucharest,10550,2014-03-26,private,certified_used,2026-01-29T03:00:00Z
car-000054,Renault,Captur,2020,145735,lpg,automatic,2.1,coupe,black,Timisoara,24117,2020-06-20,private,used,2026-01-06T07:00:00Z
car-000055,Kia,Stonic,2008,144301,lpg,manual,2.9,sedan,brown,Constanta,12637,2008-08-09,dealer,certified_used,2026-02-10T15:00:00Z
car-000056,Volkswagen,Tiguan,2019,217092,hybrid,automatic,2.7,sedan,gray,Timisoara,18305,2019-08-10,private,used,2026-01-30T02:00:00Z
car-000057,Ford,Mondeo,2018,63776,electric,manual,0.0,coupe,brown,Timisoara,20930,2018-04-17,private,certified_used,2026-02-10T14:00:00Z
car-000058,Toyota,Yaris,2016,290949,diesel,automatic,2.1,wagon,white,Bucharest,17977,2016-11-20,dealer,used,2026-01-20T17:00:00Z
car-000059,Toyota,Auris,2021,51868,diesel,manual,2.2,hatchback,silver,Timisoara,26640,2021-12-10,private,certified_used,2026-02-23T15:00:00Z
car-000060,Renault,Megane,2022,292021,diesel,automatic,1.5,coupe,silver,Bucharest,17730,2022-07-11,private,used,2026-01-19T23:00:00Z
car-000061,Audi,Q5,2023,80906,electric,automatic,0.0,coupe,green,Timisoara,35551,2023-06-28,dealer,used,2026-02-06T12:00:00Z
car-000062,Mercedes-Benz,GLA200,2009,169816,electric,automatic,0.0,sedan,brown,Bucharest,11542,2009-09-19,private,used,2026-02-25T14:00:00Z
car-000063,Volkswagen,Touran,2022,11046,diesel,automatic,3.2,sedan,white,Timisoara,26302,2022-05-11,private,used,2026-02-24T10:00:00Z
car-000064,Hyundai,Kona,2018,258825,lpg,manual,2.5,sedan,red,Cluj-Napoca,17933,2018-02-14,dealer,used,2026-01-29T05:00:00Z
car-000065,Audi,A3,2009,173065,petrol,automatic,1.9,wagon,silver,Cluj-Napoca,12551,2009-07-19,dealer,used,2026-01-12T02:00:00Z
car-000066,Kia,Niro,2015,263920,lpg,manual,1.6,suv,brown,Iasi,15249,2015-01-26,private,certified_used,2026-02-13T17:00:00Z
car-000067,BMW,320,2022,184175,lpg,automatic,2.6,wagon,red,Timisoara,21459,2022-05-07,private,certified_used,2026-01-07T07:00:00Z
car-000068,Skoda,Rapid,2019,304366,hybrid,automatic,1.1,wagon,red,Bucharest,17468,2019-11-25,dealer,certified_used,2026-02-23T09:00:00Z
car-000069,Mercedes-Benz,CLA200,2019,117821,diesel,automatic,2.7,sedan,white,Brasov,22494,2019-01-10,private,used,2026-02-07T11:00:00Z
car-000070,BMW,320,2017,174294,electric,manual,0.0,coupe,gray,Constanta,24387,2017-05-27,dealer,certified_used,2026-02-28T15:00:00Z
car-000071,Audi,A6,2011,248540,petrol,manual,2.9,sedan,green,Constanta,10396,2011-02-26,private,used,2026-01-17T17:00:00Z
car-000072,Volkswagen,Tiguan,2019,140448,lpg,automatic,3.1,suv,white,Brasov,19115,2019-08-01,private,used,2026-02-11T02:00:00Z
car-000073,Renault,Captur,2021,64171,diesel,manual,3.4,suv,brown,Bucharest,19796,2021-04-18,dealer,certified_used,2026-01-30T11:00:00Z
car-000074,Hyundai,Kona,2012,220518,petrol,automatic,2.5,suv,black,Brasov,11148,2012-04-15,private,used,2026-02-24T11:00:00Z
car-000075,Volkswagen,Polo,2025,191048,petrol,automatic,1.7,hatchback,brown,Bucharest,22423,2025-04-21,dealer,used,2026-02-20T10:00:00Z
car-000076,Mercedes-Benz,E220,2014,38971,lpg,manual,2.5,sedan,gray,Cluj-Napoca,19160,2014-10-01,private,used,2026-01-09T17:00:00Z
car-000077,Audi,A4,2011,16516,diesel,manual,1.9,sedan,gray,Bucharest,11427,2011-05-02,dealer,certified_used,2026-02-03T03:00:00Z
car-000078,Volkswagen,Tiguan,2022,192812,lpg,manual,2.1,sedan,black,Brasov,21052,2022-11-17,private,certified_used,2026-02-11T00:00:00Z
car-000079,Toyota,RAV4,2020,226490,petrol,automatic,2.8,wagon,white,Bucharest,16590,2020-10-05,dealer,used,2026-01-18T19:00:00Z
car-000080,Kia,Stonic,2018,202703,lpg,automatic,2.1,coupe,green,Bucharest,18237,2018-12-04,dealer,certified_used,2026-01-29T07:00:00Z
car-000081,Skoda,Superb,2022,212049,electric,manual,0.0,suv,red,Iasi,27710,2022-03-22,private,used,2026-01-06T02:00:00Z
car-000082,Volkswagen,Tiguan,2011,198374,diesel,manual,2.5,coupe,gray,Brasov,8800,2011-07-12,private,used,2026-01-19T19:00:00Z
car-000083,Audi,A6,2011,305995,lpg,manual,1.4,wagon,blue,Bucharest,10294,2011-09-12,dealer,certified_used,2026-02-06T07:00:00Z
car-000084,Skoda,Rapid,2025,16764,lpg,automatic,1.1,suv,red,Iasi,25475,2025-01-06,dealer,certified_used,2026-01-05T04:00:00Z
car-000085,Toyota,Corolla,2024,115791,electric,automatic,0.0,sedan,gray,Iasi,34513,2024-06-25,dealer,used,2026-01-10T05:00:00Z
car-000086,Kia,Ceed,2010,145660,electric,automatic,0.0,wagon,green,Iasi,13581,2010-09-04,private,certified_used,2026-01-08T09:00:00Z
car-000087,Kia,Niro,2024,164700,petrol,manual,2.0,coupe,black,Bucharest,23374,2024-05-07,dealer,certified_used,2026-01-19T10:00:00Z
car-000088,Volkswagen,Golf,2023,228787,diesel,manual,2.0,sedan,gray,Bucharest,19241,2023-12-02,private,used,2026-01-30T02:00:00Z
car-000089,Ford,Puma,2021,303626,electric,automatic,0.0,wagon,black,Iasi,20406,2021-10-15,private,used,2026-01-28T03:00:00Z
car-000090,Mercedes-Benz,GLA200,2020,277707,petrol,automatic,3.2,suv,blue,Iasi,19585,2020-03-03,dealer,used,2026-02-27T11:00:00Z
car-000091,Ford,Fiesta,2015,56899,diesel,automatic,1.5,coupe,silver,Brasov,14217,2015-03-25,private,certified_used,2026-02-18T18:00:00Z
car-000092,Kia,Niro,2018,168747,diesel,automatic,1.2,wagon,red,Iasi,21144,2018-01-12,dealer,certified_used,2026-01-30T14:00:00Z
car-000093,Toyota,Corolla,2019,153511,petrol,manual,2.5,coupe,green,Timisoara,21954,2019-09-26,dealer,certified_used,2026-02-28T18:00:00Z
car-000094,Mercedes-Benz,A180,2023,265860,diesel,manual,2.1,suv,white,Constanta,20874,2023-03-02,dealer,certified_used,2026-01-29T16:00:00Z
car-000095,Hyundai,Elantra,2013,193787,hybrid,automatic,2.0,suv,black,Brasov,13681,2013-06-03,private,used,2026-02-05T21:00:00Z
car-000096,Skoda,Superb,2016,318988,diesel,automatic,1.2,sedan,gray,Iasi,17941,2016-11-23,private,used,2026-02-08T22:00:00Z
car-000097,Volkswagen,Polo,2025,200488,hybrid,manual,2.7,coupe,white,Brasov,22473,2025-07-17,private,used,2026-01-24T09:00:00Z
car-000098,BMW,X1,2018,257946,diesel,manual,3.5,sedan,white,Iasi,18573,2018-02-17,dealer,certified_used,2026-02-26T19:00:00Z
car-000099,BMW,118,2020,83872,diesel,manual,3.1,coupe,silver,Brasov,21685,2020-01-14,private,used,2026-01-29T19:00:00Z
car-000100,Audi,Q3,2015,282975,diesel,automatic,3.4,wagon,blue,Iasi,15324,2015-10-15,private,certified_used,2026-02-19T12:00:00Z
car-000101,Hyundai,Elantra,2021,87965,diesel,manual,3.2,hatchback,brown,Iasi,23542,2021-02-23,dealer,certified_used,2026-01-06T05:00:00Z
car-000102,Audi,Q3,2024,80253,electric,manual,0.0,sedan,brown,Iasi,36652,2024-01-14,dealer,certified_used,2026-02-02T11:00:00Z
car-000103,Mercedes-Benz,GLA200,2010,199562,diesel,manual,1.8,hatchback,gray,Cluj-Napoca,8181,2010-01-10,private,used,2026-02-18T22:00:00Z
car-000104,Renault,Kadjar,2008,44537,petrol,automatic,1.5,sedan,green,Bucharest,13658,2008-05-08,private,used,2026-01-04T07:00:00Z
car-000105,Skoda,Rapid,2022,35929,petrol,automatic,2.5,hatchback,blue,Brasov,21076,2022-05-14,dealer,certified_used,2026-01-16T18:00:00Z
car-000106,Skoda,Fabia,2010,277456,hybrid,manual,3.4,coupe,black,Timisoara,13003,2010-08-02,private,certified_used,2026-01-17T23:00:00Z
car-000107,Toyota,Camry,2010,183775,diesel,manual,2.9,suv,silver,Bucharest,9588,2010-09-11,dealer,certified_used,2026-02-14T15:00:00Z
car-000108,BMW,X1,2010,242955,petrol,automatic,1.5,sedan,black,Iasi,13396,2010-05-17,private,certified_used,2026-01-17T01:00:00Z
car-000109,Mercedes-Benz,A180,2019,28063,hybrid,automatic,1.3,suv,green,Timisoara,23289,2019-08-13,private,used,2026-02-01T22:00:00Z
car-000110,Renault,Captur,2024,142838,petrol,automatic,1.2,coupe,silver,Constanta,24106,2024-06-04,dealer,certified_used,2026-02-12T09:00:00Z
car-000111,Audi,Q3,2021,90369,electric,automatic,0.0,suv,green,Iasi,30297,2021-01-03,private,certified_used,2026-02-02T23:00:00Z
car-000112,BMW,320,2012,232728,petrol,manual,1.2,suv,gray,Timisoara,14942,2012-10-02,dealer,certified_used,2026-01-24T11:00:00Z
car-000113,Renault,Clio,2012,280589,hybrid,automatic,1.8,suv,blue,Bucharest,8889,2012-12-06,private,certified_used,2026-02-28T17:00:00Z
car-000114,Volkswagen,Polo,2016,236975,diesel,automatic,2.7,wagon,blue,Bucharest,12488,2016-02-15,dealer,certified_used,2026-01-06T21:00:00Z
car-000115,Ford,Mondeo,2010,291356,lpg,automatic,3.2,sedan,silver,Iasi,10613,2010-04-04,dealer,used,2026-01-16T15:00:00Z
car-000116,Toyota,Camry,2025,303038,hybrid,automatic,3.0,coupe,silver,Constanta,23874,2025-02-03,private,certified_used,2026-02-15T23:00:00Z
car-000117,Renault,Talisman,2021,217661,lpg,manual,1.3,suv,white,Timisoara,18252,2021-11-17,private,used,2026-02-26T17:00:00Z
car-000118,Kia,Sportage,2012,229816,lpg,manual,3.1,coupe,silver,Iasi,9798,2012-03-11,dealer,certified_used,2026-02-03T09:00:00Z
car-000119,Volkswagen,Polo,2014,291799,hybrid,manual,2.6,coupe,white,Constanta,14360,2014-03-19,dealer,used,2026-02-12T19:00:00Z
car-000120,Kia,Rio,2009,17875,petrol,manual,3.4,coupe,red,Brasov,9926,2009-10-14,dealer,certified_used,2026-02-26T20:00:00Z
car-000121,Hyundai,Tucson,2017,256202,diesel,automatic,1.7,hatchback,black,Cluj-Napoca,15200,2017-07-16,private,used,2026-01-22T19:00:00Z
car-000122,BMW,X3,2018,184073,electric,manual,0.0,coupe,white,Iasi,18280,2018-08-04,private,certified_used,2026-01-16T04:00:00Z
car-000123,Volkswagen,Golf,2017,204405,lpg,automatic,1.6,sedan,gray,Constanta,17045,2017-06-07,dealer,certified_used,2026-02-02T14:00:00Z
car-000124,Renault,Captur,2023,15151,petrol,automatic,2.3,sedan,blue,Constanta,23690,2023-01-02,private,certified_used,2026-02-08T20:00:00Z
car-000125,Renault,Captur,2025,7287,petrol,automatic,1.3,suv,gray,Timisoara,25597,2025-01-13,dealer,used,2026-01-24T17:00:00Z
car-000126,Audi,A3,2020,267375,electric,automatic,0.0,coupe,white,Cluj-Napoca,26086,2020-02-13,private,certified_used,2026-02-05T11:00:00Z
car-000127,BMW,X1,2024,213442,lpg,manual,1.1,sedan,gray,Timisoara,20763,2024-08-05,dealer,certified_used,2026-03-01T19:00:00Z
car-000128,Ford,Fiesta,2020,159884,lpg,automatic,2.3,coupe,brown,Brasov,22711,2020-05-16,dealer,certified_used,2026-01-22T21:00:00Z
car-000129,Volkswagen,Tiguan,2017,16970,lpg,automatic,1.7,coupe,blue,Brasov,15820,2017-10-16,dealer,certified_used,2026-01-10T21:00:00Z
car-000130,Mercedes-Benz,C180,2011,103025,petrol,automatic,1.8,sedan,green,Brasov,11670,2011-07-17,private,used,2026-02-15T04:00:00Z
car-000131,Hyundai,i30,2025,173419,electric,automatic,0.0,sedan,brown,Constanta,31755,2025-09-12,private,certified_used,2026-01-13T07:00:00Z
car-000132,Audi,Q5,2017,120895,hybrid,automatic,2.8,wagon,gray,Timisoara,18257,2017-09-26,private,certified_used,2026-01-08T18:00:00Z
car-000133,Hyundai,Kona,2020,183949,diesel,automatic,1.1,hatchback,gray,Timisoara,18778,2020-05-24,private,used,2026-01-13T17:00:00Z
car-000134,Audi,Q5,2016,74970,petrol,manual,1.6,coupe,blue,Brasov,16407,2016-01-04,private,certified_used,2026-02-15T15:00:00Z
car-000135,Volkswagen,Passat,2008,291543,diesel,automatic,2.6,wagon,brown,Brasov,7146,2008-05-11,private,used,2026-02-28T02:00:00Z
car-000136,Kia,Sportage,2025,22555,diesel,automatic,3.2,sedan,black,Timisoara,29054,2025-08-06,private,used,2026-01-01T09:00:00Z
car-000137,Kia,Stonic,2011,178658,hybrid,automatic,3.5,coupe,brown,Cluj-Napoca,16971,2011-09-15,private,used,2026-02-21T03:00:00Z
car-000138,Ford,Fiesta,2022,137880,diesel,manual,2.8,suv,blue,Cluj-Napoca,24904,2022-11-13,private,certified_used,2026-01-06T12:00:00Z
car-000139,Volkswagen,Passat,2012,253323,hybrid,manual,1.0,wagon,blue,Timisoara,13659,2012-05-11,private,used,2026-01-17T20:00:00Z
car-000140,Ford,Fiesta,2009,64983,electric,automatic,0.0,coupe,red,Brasov,11451,2009-11-10,private,used,2026-01-15T04:00:00Z
car-000141,Renault,Megane,2022,198887,electric,automatic,0.0,sedan,blue,Brasov,26081,2022-10-28,dealer,certified_used,2026-02-03T22:00:00Z
car-000142,Ford,Focus,2011,35379,lpg,manual,2.4,sedan,silver,Iasi,16999,2011-09-15,dealer,used,2026-02-15T18:00:00Z
car-000143,Renault,Clio,2024,236561,petrol,automatic,1.3,wagon,brown,Constanta,17737,2024-09-15,private,used,2026-01-26T08:00:00Z
car-000144,Toyota,Yaris,2010,26744,electric,automatic,0.0,coupe,black,Bucharest,20936,2010-08-02,private,certified_used,2026-01-12T04:00:00Z
car-000145,Skoda,Superb,2020,238162,electric,automatic,0.0,coupe,silver,Brasov,25146,2020-06-04,dealer,certified_used,2026-02-03T04:00:00Z
car-000146,Mercedes-Benz,C180,2008,159428,electric,automatic,0.0,sedan,blue,Timisoara,12668,2008-03-09,dealer,used,2026-01-03T21:00:00Z
car-000147,Skoda,Rapid,2008,129178,diesel,manual,1.3,hatchback,brown,Constanta,12805,2008-12-28,dealer,used,2026-02-17T01:00:00Z
car-000148,Skoda,Kodiaq,2015,285989,diesel,manual,1.4,suv,blue,Brasov,14655,2015-06-19,private,used,2026-01-20T04:00:00Z
car-000149,Hyundai,i30,2021,160549,hybrid,manual,2.4,coupe,silver,Brasov,24560,2021-07-18,private,used,2026-01-23T20:00:00Z
car-000150,Skoda,Rapid,2018,221274,electric,manual,0.0,sedan,brown,Cluj-Napoca,23256,2018-04-10,dealer,certified_used,2026-02-28T01:00:00Z
car-000151,Hyundai,Kona,2021,295178,lpg,manual,2.0,suv,blue,Iasi,19437,2021-02-15,private,used,2026-02-04T23:00:00Z
car-000152,Mercedes-Benz,C180,2016,200744,lpg,manual,3.2,sedan,blue,Timisoara,12968,2016-06-10,dealer,used,2026-03-01T06:00:00Z
car-000153,Volkswagen,Tiguan,2015,319880,diesel,automatic,3.3,coupe,gray,Iasi,13374,2015-08-18,private,certified_used,2026-01-17T11:00:00Z
car-000154,Hyundai,Kona,2022,54699,electric,automatic,0.0,suv,gray,Timisoara,25342,2022-10-28,dealer,used,2026-01-02T08:00:00Z
car-000155,Hyundai,Elantra,2021,157765,diesel,manual,1.8,wagon,blue,Timisoara,23510,2021-11-22,private,certified_used,2026-02-18T15:00:00Z
car-000156,Renault,Kadjar,2013,187641,diesel,manual,2.8,wagon,silver,Constanta,13645,2013-01-17,dealer,used,2026-02-22T21:00:00Z
car-000157,Toyota,Corolla,2021,75085,diesel,manual,2.8,hatchback,blue,Constanta,22735,2021-06-02,private,certified_used,2026-01-02T00:00:00Z
car-000158,Hyundai,Elantra,2021,9213,petrol,automatic,2.3,suv,black,Constanta,25661,2021-12-22,private,used,2026-01-07T03:00:00Z
car-000159,Hyundai,i30,2015,103627,lpg,automatic,3.0,suv,green,Bucharest,16656,2015-07-15,dealer,used,2026-01-20T21:00:00Z
car-000160,Volkswagen,Golf,2010,215482,electric,automatic,0.0,hatchback,black,Brasov,10502,2010-02-16,private,certified_used,2026-02-06T03:00:00Z
car-000161,Hyundai,i20,2015,113843,lpg,automatic,1.7,hatchback,red,Constanta,18216,2015-11-02,dealer,certified_used,2026-01-02T06:00:00Z
car-000162,Kia,Sportage,2020,43337,hybrid,manual,2.4,coupe,green,Brasov,25444,2020-09-11,private,used,2026-02-20T22:00:00Z
car-000163,Volkswagen,Touran,2019,31152,petrol,automatic,1.6,hatchback,gray,Constanta,23499,2019-10-20,private,certified_used,2026-01-02T20:00:00Z
car-000164,Audi,Q3,2023,122610,hybrid,automatic,2.1,coupe,green,Bucharest,27125,2023-10-10,dealer,used,2026-01-06T08:00:00Z
car-000165,BMW,520,2012,207274,hybrid,automatic,1.3,hatchback,red,Timisoara,11078,2012-05-04,dealer,used,2026-01-12T13:00:00Z
car-000166,Renault,Talisman,2025,271666,electric,manual,0.0,suv,white,Constanta,27498,2025-06-28,private,used,2026-01-19T13:00:00Z
car-000167,Skoda,Octavia,2025,130266,lpg,manual,2.7,sedan,silver,Iasi,25066,2025-05-16,dealer,used,2026-01-11T13:00:00Z
car-000168,Audi,Q3,2017,256876,petrol,automatic,1.6,sedan,brown,Constanta,16360,2017-04-15,dealer,used,2026-01-20T00:00:00Z
car-000169,Skoda,Superb,2020,175774,electric,automatic,0.0,coupe,silver,Iasi,25907,2020-10-23,dealer,certified_used,2026-01-21T05:00:00Z
car-000170,Skoda,Superb,2017,260429,lpg,manual,1.8,suv,green,Iasi,13065,2017-10-07,dealer,used,2026-02-16T14:00:00Z
car-000171,Mercedes-Benz,GLA200,2017,39259,electric,automatic,0.0,suv,blue,Iasi,25993,2017-03-23,private,certified_used,2026-01-05T14:00:00Z
car-000172,Kia,Niro,2020,283162,lpg,automatic,2.4,suv,white,Bucharest,19519,2020-04-22,private,used,2026-02-11T19:00:00Z
car-000173,Toyota,Auris,2020,176852,electric,manual,0.0,suv,blue,Constanta,30272,2020-09-18,dealer,certified_used,2026-01-24T12:00:00Z
car-000174,Renault,Talisman,2024,82033,hybrid,manual,2.2,suv,green,Bucharest,22650,2024-12-05,private,certified_used,2026-01-22T14:00:00Z
car-000175,Mercedes-Benz,CLA200,2023,185609,electric,manual,0.0,wagon,gray,Bucharest,23258,2023-01-26,dealer,used,2026-02-24T10:00:00Z
car-000176,Volkswagen,Passat,2015,273529,diesel,manual,1.8,wagon,brown,Cluj-Napoca,16108,2015-07-21,dealer,used,2026-02-10T21:00:00Z
car-000177,Skoda,Kodiaq,2008,106454,electric,automatic,0.0,sedan,blue,Iasi,16828,2008-12-26,dealer,used,2026-02-21T17:00:00Z
car-000178,BMW,X3,2018,106323,electric,manual,0.0,wagon,gray,Constanta,24353,2018-10-13,dealer,certified_used,2026-01-23T14:00:00Z
car-000179,Kia,Sportage,2017,312418,petrol,manual,1.8,sedan,red,Bucharest,13519,2017-06-23,dealer,certified_used,2026-01-27T19:00:00Z
car-000180,BMW,118,2020,224794,diesel,automatic,2.6,sedan,silver,Timisoara,16372,2020-03-06,private,certified_used,2026-02-09T01:00:00Z
car-000181,Ford,Focus,2023,74583,diesel,automatic,3.4,coupe,brown,Timisoara,26409,2023-08-14,private,certified_used,2026-01-11T02:00:00Z
car-000182,Kia,Ceed,2015,156139,petrol,automatic,1.6,suv,silver,Timisoara,18233,2015-12-25,private,used,2026-02-06T03:00:00Z
car-000183,Audi,Q5,2019,287186,petrol,automatic,2.4,wagon,white,Brasov,19199,2019-11-25,dealer,certified_used,2026-02-25T01:00:00Z
